"Name","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","ID"
"Matthew Golden","WR","GB","111","115.4","4.4","WR49","WR50","1","1379267"
"George Kittle","TE","SF","112","110.6","-1.4","TE09","TE09","0","733672"
"Wan'Dale Robinson","WR","TEN","113","105.6","-7.4","WR50","WR47","-3","1164875"
"Baker Mayfield","QB","TB","114","121.1","7.1","QB19","QB20","1","748070"
"KC Concepcion","WR","CLE","115","126.6","11.6","WR51","WR53","2","1441576"
"Khalil Shakir","WR","BUF","116","123.3","7.3","WR52","WR52","0","1130603"
"Travis Kelce","TE","KC","117","119.4","2.4","TE10","TE11","1","448240"
"Dallas Goedert","TE","PHI","118","121.6","3.6","TE11","TE13","2","791365"
"Dalton Kincaid","TE","BUF","119","112.7","-6.3","TE12","TE10","-2","1135513"
"Jordan Mason","RB","MIN","120","115.9","-4.1","RB37","RB39","2","1116001"
"Malik Willis","QB","MIA","121","132.0","11.0","QB20","QB21","1","976323"
"Jonathon Brooks","RB","CAR","122","93.9","-28.1","RB38","RB33","-5","1326601"
"Rachaad White","RB","WAS","123","112.0","-11.0","RB39","RB38","-1","1229343"
"Aaron Jones","RB","MIN","124","126.3","2.3","RB40","RB41","1","741314"
"Sam Darnold","QB","SEA","125","136.1","11.1","QB21","QB22","1","880026"
"Tyler Shough","QB","NO","126","118.3","-7.7","QB22","QB19","-3","1110306"
"Jake Ferguson","TE","DAL","127","128.2","1.2","TE13","TE14","1","1065361"
"CJ Stroud","QB","HOU","128","142.4","14.4","QB23","QB24","1","1214084"
"Mark Andrews","TE","BAL","129","130.9","1.9","TE14","TE15","1","820699"
"Chris Rodriguez","RB","JAX","130","138.7","8.7","RB41","RB43","2","1113403"
"Romeo Doubs","WR","NE","131","120.1","-10.9","WR53","WR51","-2","1122653"
"Tyrone Tracy","RB","NYG","132","132.5","0.5","RB42","RB42","0","1109708"
"Jacory Croskey-Merritt","RB","WAS","133","123.3","-9.7","RB43","RB40","-3","1191186"
"Jalen Coker","WR","CAR","134","129.1","-4.9","WR54","WR54","0","1218753"
"Daniel Jones","QB","IND","135","144.9","9.9","QB24","QB25","1","879981"
"Stefon Diggs","WR","FA","136","136.4","0.4","WR55","WR57","2","694041"
"Jayden Higgins","WR","HOU","137","132.7","-4.3","WR56","WR55","-1","1274492"
"Keaton Mitchell","RB","LAC","138","141.1","3.1","RB44","RB44","0","1222789"
"Woody Marks","RB","HOU","139","142.0","3.0","RB45","RB45","0","1231652"
"Isaiah Likely","TE","NYG","140","119.5","-20.5","TE15","TE12","-3","1125111"
"Rashid Shaheed","WR","SEA","141","134.5","-6.5","WR57","WR56","-1","923412"
"Omar Cooper","WR","NYJ","142","151.7","9.7","WR58","WR60","2","1394825"
"Tyjae Spears","RB","TEN","143","155.2","12.2","RB46","RB49","3","1169430"
"Alvin Kamara","RB","NO","144","152.4","8.4","RB47","RB47","0","750846"
"Brenton Strange","TE","JAX","145","147.7","2.7","TE16","TE18","2","1164940"
"Jauan Jennings","WR","MIN","146","154.7","8.7","WR59","WR61","2","867009"
"Isiah Pacheco","RB","DET","147","145.3","-1.7","RB48","RB46","-2","1106832"
"Cameron Ward","QB","TEN","148","140.3","-7.7","QB25","QB23","-2","1228691"
"Kenyon Sadiq","TE","NYJ","149","161.8","12.8","TE17","TE21","4","1444547"
"Oronde Gadsden","TE","LAC","150","147.1","-2.9","TE18","TE17","-1","1325624"
"Jalen McMillan","WR","TB","151","142.0","-9.0","WR60","WR58","-2","1213726"
"Bryce Young","QB","CAR","152","152.5","0.5","QB26","QB26","0","1213257"
"Denzel Boston","WR","CLE","153","166.0","13.0","WR61","WR66","5","1379904"
"Hunter Henry","TE","NE","154","155.1","1.1","TE19","TE20","1","744425"
"Chig Okonkwo","TE","WAS","155","138.2","-16.8","TE20","TE16","-4","1106374"
"TJ Hockenson","TE","MIN","156","165.1","9.1","TE21","TE22","1","923915"
"Juwan Johnson","TE","NO","157","149.8","-7.2","TE22","TE19","-3","884609"
"Tyler Allgeier","RB","ARI","158","159.6","1.6","RB49","RB50","1","1131198"
"Jalen Nailor","WR","LV","159","148.7","-10.3","WR62","WR59","-3","1126817"
"Aaron Rodgers","QB","PIT","160","167.1","7.1","QB27","QB28","1","213957"
"Tre Tucker","WR","LV","161","158.8","-2.2","WR63","WR63","0","1164979"
"Brian Robinson","RB","ATL","162","177.8","15.8","RB50","RB54","4","973966"
"Deebo Samuel","WR","FA","163","170.2","7.2","WR64","WR68","4","835749"
"Dylan Sampson","RB","CLE","164","169.0","5.0","RB51","RB52","1","1399910"
"Jonah Coleman","RB","DEN","165","167.3","2.3","RB52","RB51","-1","1380594"
"Tank Bigsby","RB","PHI","166","171.8","5.8","RB53","RB53","0","1215035"
"Ryan Flournoy","WR","DAL","167","163.8","-3.2","WR65","WR65","0","1393832"
"Dalton Schultz","TE","HOU","168","171.2","3.2","TE23","TE23","0","830523"
"Cade Otton","TE","TB","169","186.1","17.1","TE24","TE27","3","1049263"
"Fernando Mendoza","QB","LV","170","175.0","5.0","QB28","QB29","1","1400786"
"Jerry Jeudy","WR","CLE","171","183.2","12.2","WR66","WR73","7","973935"
"Pat Freiermuth","TE","PIT","172","196.3","24.3","TE25","TE29","4","1116662"
"De'Zhaun Stribling","WR","SF","173","180.4","7.4","WR67","WR72","5","1286818"
"Zach Charbonnet","RB","SEA","174","154.0","-20.0","RB54","RB48","-6","1164530"
"Calvin Ridley","WR","TEN","175","193.1","18.1","WR68","WR77","9","884013"
"Adonai Mitchell","WR","NYJ","176","176.8","0.8","WR69","WR70","1","1285908"
"Ray Davis","RB","BUF","177","191.4","14.4","RB55","RB57","2","1165229"
"Antonio Williams","WR","WAS","178","173.9","-4.1","WR70","WR69","-1","1378290"
"Tre' Harris","WR","LAC","179","179.0","-0.0","WR71","WR71","0","1214633"
"Ty Johnson","RB","BUF","180","225.7","45.7","RB56","RB74","18","877784"
"Justice Hill","RB","BAL","181","206.0","25.0","RB57","RB62","5","923109"
"Isaac TeSlaa","WR","DET","182","167.8","-14.2","WR72","WR67","-5","1441362"
"Sean Tucker","RB","TB","183","191.2","8.2","RB58","RB56","-2","1228633"
"DJ Giddens","RB","IND","184","227.1","43.1","RB59","RB78","19","1303569"
"Kaytron Allen","RB","WAS","185","209.8","24.8","RB60","RB64","4","1379259"
"Gunnar Helm","TE","TEN","186","181.0","-5.0","TE26","TE25","-1","1286438"
"Emmett Johnson","RB","KC","187","199.5","12.5","RB61","RB60","-1","1379251"
"Jaydon Blue","RB","DAL","188","181.8","-6.2","RB62","RB55","-7","1378898"
"Germie Bernard","WR","PIT","189","198.6","9.6","WR73","WR79","6","1380613"
"Travis Hunter","WR","JAX","190","156.7","-33.3","WR74","WR62","-12","1399275"
"Samaje Perine","RB","CIN","191","225.0","34.0","RB63","RB72","9","820734"
"Greg Dulcich","TE","MIA","192","172.6","-19.4","TE27","TE24","-3","1128085"
"Terrance Ferguson","TE","LA","193","187.2","-5.8","TE28","TE28","0","1286179"
"Jordan James","RB","SF","194","217.8","23.8","RB64","RB68","4","1400657"
"Cooper Kupp","WR","SEA","195","197.7","2.7","WR75","WR78","3","698227"
"Kaelon Black","RB","SF","196","224.8","28.8","RB65","RB71","6","1215772"
"Mike Washington","RB","LV","197","211.2","14.2","RB66","RB65","-1","1289428"
"Zachariah Branch","WR","ATL","198","189.6","-8.4","WR76","WR76","0","1441110"
"MarShawn Lloyd","RB","GB","199","197.2","-1.8","RB67","RB59","-8","1213414"
"Najee Harris","RB","FA","200","230.9","30.9","RB68","RB98","30","973964"
"Mike Gesicki","TE","CIN","201","211.0","10.0","TE29","TE32","3","836152"
"Braelon Allen","RB","NYJ","202","195.8","-6.2","RB69","RB58","-11","1325231"
"Nicholas Singleton","RB","TEN","203","204.8","1.8","RB70","RB61","-9","1379264"
"Chris Brooks","RB","GB","204","228.2","24.2","RB71","RB84","13","1127065"
"Tank Dell","WR","HOU","205","189.3","-15.7","WR77","WR75","-2","1128222"
"Pat Bryant","WR","DEN","206","221.0","15.0","WR78","WR89","11","1305866"
"Demond Claiborne","RB","MIN","207","217.3","10.3","RB72","RB67","-5","1390910"
"AJ Barner","TE","SEA","208","184.3","-23.7","TE30","TE26","-4","1229503"
"Rashod Bateman","WR","BAL","209","213.6","4.6","WR79","WR85","6","1108208"
"Colby Parkinson","TE","LA","210","200.6","-9.4","TE31","TE30","-1","1060312"
"Geno Smith","QB","NYJ","211","180.3","-30.7","QB29","QB30","1","513856"
"Isaiah Davis","RB","NYJ","212","229.1","17.1","RB73","RB90","17","1271609"
"Dontayvion Wicks","WR","PHI","213","187.1","-25.9","WR80","WR74","-6","1172428"
"Keenan Allen","WR","FA","214","227.8","13.8","WR81","WR100","19","557210"
"Jaylin Noel","WR","HOU","215","223.2","8.2","WR82","WR90","8","1286370"
"Darnell Mooney","WR","NYG","216","205.2","-10.8","WR83","WR81","-2","912027"
"Evan Engram","TE","DEN","217","215.6","-1.4","TE32","TE33","1","749185"
"Kimani Vidal","RB","LAC","218","208.1","-9.9","RB74","RB63","-11","1214824"
"Kayshon Boutte","WR","NE","219","203.4","-15.6","WR84","WR80","-4","1213362"
"Devaughn Vele","WR","NO","220","228.2","8.2","WR85","WR108","23","1164788"
"Emanuel Wilson","RB","SEA","221","224.8","3.8","RB75","RB70","-5","1447759"
"Darius Slayton","WR","NYG","222","229.6","7.6","WR86","WR136","50","880557"
"George Holani","RB","SEA","223","216.4","-6.6","RB76","RB66","-10","1180625"
"Jaylen Wright","RB","MIA","224","228.9","4.9","RB77","RB87","10","1286513"
"Michael Mayer","TE","LV","225","228.1","3.1","TE33","TE36","3","1232592"
"Jacoby Brissett","QB","ARI","226","163.7","-62.3","QB30","QB27","-3","607047"
"Dawson Knox","TE","BUF","227","230.5","3.5","TE34","TE55","21","884083"
"Jahan Dotson","WR","ATL","228","230.1","2.1","WR87","WR147","60","1121878"
"Seth McGowan","RB","IND","229","230.4","1.4","RB78","RB97","19","1213794"
"Andrei Iosivas","WR","CIN","230","229.5","-0.5","WR88","WR133","45","1124851"
"Kalif Raymond","WR","CHI","231","228.5","-2.5","WR89","WR115","26","692660"
"Malachi Fields","WR","NYG","232","218.7","-13.3","WR90","WR87","-3","1319589"
"Kendrick Bourne","WR","ARI","233","229.3","-3.7","WR91","WR128","37","754412"
"Marvin Mims","WR","DEN","234","228.1","-5.9","WR92","WR103","11","1213799"
"David Njoku","TE","LAC","235","206.4","-28.6","TE35","TE31","-4","832098"
"KaVontae Turpin","WR","DAL","236","228.2","-7.8","WR93","WR110","17","865958"
"Caleb Douglas","WR","MIA","237","229.7","-7.3","WR94","WR140","46","1394798"
"Chris Brazzell","WR","CAR","238","228.1","-9.9","WR95","WR107","12","1400788"
"Malik Washington","WR","MIA","239","160.6","-78.4","WR96","WR64","-32","1173255"
"Joshua Palmer","WR","BUF","240","228.6","-11.4","WR97","WR118","21","1059612"
"Demario Douglas","WR","NE","241","227.6","-13.4","WR98","WR99","1","1175693"
"Chris Bell","WR","MIA","242","226.2","-15.8","WR99","WR95","-4","1389700"
"Brandon Aiyuk","WR","FA","243","225.4","-17.6","WR100","WR92","-8","1107034"
"Emari Demercado","RB","KC","244","229.2","-14.8","RB79","RB92","13","1116817"
"Tyquan Thornton","WR","KC","245","219.0","-26.0","WR101","WR88","-13","1110301"
"Trevor Etienne","RB","CAR","246","226.1","-19.9","RB80","RB75","-5","1394803"
"Darnell Washington","TE","PIT","247","228.1","-18.9","TE36","TE37","1","1218658"
"Cole Kmet","TE","CHI","248","229.0","-19.0","TE37","TE44","7","1066765"
"Brashard Smith","RB","KC","249","229.0","-20.0","RB81","RB89","8","1313668"
"Ja'Tavion Sanders","TE","CAR","250","230.5","-19.5","TE38","TE56","18","1326628"
"James Conner","RB","ARI","251","221.5","-29.5","RB82","RB69","-13","742390"
"Isaac Guerendo","RB","SF","252","226.3","-25.7","RB83","RB76","-7","1126338"
"Elijah Arroyo","TE","SEA","253","230.3","-22.7","TE39","TE52","13","1286840"
"Noah Gray","TE","KC","254","231.2","-22.8","TE40","TE60","20","1056981"
"Will Shipley","RB","PHI","255","226.6","-28.4","RB84","RB77","-7","1287636"
"Keon Coleman","WR","BUF","256","207.6","-48.4","WR102","WR83","-19","1322431"
"Dyami Brown","WR","WAS","257","228.5","-28.5","WR103","WR117","14","1107878"
"Treylon Burks","WR","WAS","258","230.1","-27.9","WR104","WR146","42","1172024"
"Theo Johnson","TE","NYG","259","230.2","-28.8","TE41","TE50","9","1214414"
"Chimere Dike","WR","TEN","260","229.3","-30.7","WR105","WR127","22","1215102"
"Mack Hollins","WR","NE","261","228.7","-32.3","WR106","WR122","16","702808"
"Elijah Sarratt","WR","BAL","262","223.7","-38.3","WR107","WR91","-16","1392584"
"Ted Hurst","WR","TB","263","216.6","-46.4","WR108","WR86","-22","1521285"
"Christian Kirk","WR","SF","264","205.4","-58.6","WR109","WR82","-27","865801"
"Tyler Higbee","TE","LA","265","228.6","-36.4","TE42","TE41","-1","604176"
"Eli Stowers","TE","PHI","266","222.5","-43.5","TE43","TE34","-9","1286065"
"Phil Mafah","RB","DAL","267","231.8","-35.2","RB85","RB99","14","1287641"
"Mason Taylor","TE","NYJ","268","231.4","-36.6","TE44","TE63","19","1381263"
"Elic Ayomanor","WR","TEN","269","229.9","-39.1","WR110","WR142","32","1395319"
"LeQuint Allen","RB","JAX","270","229.3","-40.7","RB86","RB93","7","1378840"
"Tahj Brooks","RB","CIN","271","230.3","-40.7","RB87","RB95","8","1228730"
"Cyrus Allen","WR","KC","272","230.2","-41.8","WR111","WR152","41","1382670"
"Brenen Thompson","WR","LAC","273","228.4","-44.6","WR112","WR113","1","1399132"
"Pierre Strong","RB","GB","274","240.0","-34.0","RB88","RB100","12","1050335"
"Troy Franklin","WR","DEN","275","212.0","-63.0","WR113","WR84","-29","1286176"
"Jawhar Jordan","RB","HOU","276","230.4","-45.6","RB89","RB96","7","1164137"
"Ja'Kobi Lane","WR","BAL","277","229.6","-47.4","WR114","WR137","23","1458888"
"Malik Benson","WR","LV","278","228.1","-49.9","WR115","WR105","-10","1441191"
"Jack Bech","WR","LV","279","230.2","-48.8","WR116","WR150","34","1286046"
"Noah Fant","TE","NO","280","230.1","-49.9","TE45","TE49","4","923911"
"Terrell Jennings","RB","NE","281","240.0","-41.0","RB90","RB100","10","1182082"
"Malik Davis","RB","DAL","282","228.9","-53.1","RB91","RB88","-3","975028"
"Devin Neal","RB","NO","283","228.5","-54.5","RB92","RB85","-7","1293066"
"Kendre Miller","RB","NO","284","240.0","-44.0","RB93","RB100","7","1213867"
"Erick All","TE","CIN","285","231.3","-53.7","TE46","TE62","16","1164533"
"Devin Singletary","RB","NYG","286","227.9","-58.1","RB94","RB81","-13","916466"
"Tez Johnson","WR","TB","287","230.1","-56.9","WR117","WR149","32","1214837"
"Tory Horton","WR","SEA","288","226.7","-61.3","WR118","WR96","-22","1223393"
"Eli Heidenreich","WR","PIT","289","230.1","-58.9","WR119","WR148","29","1395874"
"Ollie Gordon","RB","MIA","290","227.3","-62.7","RB95","RB79","-16","1377766"
"Tommy Tremble","TE","CAR","291","228.9","-62.1","TE47","TE43","-4","1130555"
"Olamide Zaccheaus","WR","ATL","292","229.6","-62.4","WR120","WR135","15","883976"
"Luke Schoonmaker","TE","DAL","293","240.0","-53.0","TE48","TE65","17","1130242"
"Skyler Bell","WR","BUF","294","230.2","-63.8","WR121","WR151","30","1325234"
"Zavion Thomas","WR","CHI","295","230.3","-64.7","WR122","WR153","31","1398153"
"Jalen Tolbert","WR","MIA","296","225.9","-70.1","WR123","WR93","-30","1066424"
"Tutu Atwell","WR","MIA","297","229.6","-67.4","WR124","WR134","10","1106760"
"Jahdae Walker","WR","CHI","298","228.7","-69.3","WR125","WR120","-5","1465213"
"Isaiah Bond","WR","CLE","299","230.0","-69.0","WR126","WR145","19","1398503"
"Jam Miller","RB","NE","300","227.4","-72.6","RB96","RB80","-16","1378911"
