"Name","Position","Team","ETR Rank","ADP","Ranking Diff","ETR Pos Rank","ADP Pos Rank","Pos Rank Diff","ID"
"Bryce Young","QB","CAR","155","154.8","-0.2","QB26","QB26","0","1213257"
"Hunter Henry","TE","NE","156","156.3","0.3","TE20","TE20","0","744425"
"TJ Hockenson","TE","MIN","157","167.4","10.4","TE21","TE22","1","923915"
"Tyler Allgeier","RB","ARI","158","155.3","-2.7","RB49","RB49","0","1131198"
"Jalen Nailor","WR","LV","159","150.6","-8.4","WR63","WR60","-3","1126817"
"Tank Bigsby","RB","PHI","160","165.7","5.7","RB50","RB51","1","1215035"
"Aaron Rodgers","QB","PIT","161","170.5","9.5","QB27","QB28","1","213957"
"Tre Tucker","WR","LV","162","162.5","0.5","WR64","WR64","0","1164979"
"Oronde Gadsden","TE","LAC","163","148.8","-14.2","TE22","TE17","-5","1325624"
"Jaydon Blue","RB","DAL","164","176.4","12.4","RB51","RB54","3","1378898"
"Dylan Sampson","RB","CLE","165","172.9","7.9","RB52","RB53","1","1399910"
"Jonah Coleman","RB","DEN","166","168.9","2.9","RB53","RB52","-1","1380594"
"Ryan Flournoy","WR","DAL","167","166.1","-0.9","WR65","WR66","1","1393832"
"Dalton Schultz","TE","HOU","168","172.9","4.9","TE23","TE23","0","830523"
"Brian Robinson","RB","ATL","169","180.4","11.4","RB54","RB55","1","973966"
"Cade Otton","TE","TB","170","188.4","18.4","TE24","TE28","4","1049263"
"Fernando Mendoza","QB","LV","171","179.3","8.3","QB28","QB29","1","1400786"
"Adonai Mitchell","WR","NYJ","172","178.5","6.5","WR66","WR70","4","1285908"
"Zach Charbonnet","RB","SEA","173","150.9","-22.1","RB55","RB47","-8","1164530"
"Pat Freiermuth","TE","PIT","174","197.6","23.6","TE25","TE29","4","1116662"
"Jerry Jeudy","WR","CLE","175","181.8","6.8","WR67","WR72","5","973935"
"Calvin Ridley","WR","TEN","176","194.1","18.1","WR68","WR77","9","884013"
"Ray Davis","RB","BUF","177","188.6","11.6","RB56","RB56","0","1165229"
"Antonio Williams","WR","WAS","178","175.5","-2.5","WR69","WR69","0","1378290"
"Tre' Harris","WR","LAC","179","179.7","0.7","WR70","WR71","1","1214633"
"Ty Johnson","RB","BUF","180","224.4","44.4","RB57","RB70","13","877784"
"Justice Hill","RB","BAL","181","207.2","26.2","RB58","RB62","4","923109"
"DJ Giddens","RB","IND","182","225.8","43.8","RB59","RB74","15","1303569"
"MarShawn Lloyd","RB","GB","183","189.0","6.0","RB60","RB57","-3","1213414"
"Sean Tucker","RB","TB","184","196.3","12.3","RB61","RB58","-3","1228633"
"Isaac TeSlaa","WR","DET","185","171.0","-14.0","WR71","WR68","-3","1441362"
"Kaytron Allen","RB","WAS","186","213.0","27.0","RB62","RB66","4","1379259"
"Terrance Ferguson","TE","LA","187","187.7","0.7","TE26","TE27","1","1286179"
"Emmett Johnson","RB","KC","188","201.3","13.3","RB63","RB60","-3","1379251"
"Gunnar Helm","TE","TEN","189","184.0","-5.0","TE27","TE25","-2","1286438"
"Travis Hunter","WR","JAX","190","157.4","-32.6","WR72","WR62","-10","1399275"
"Cooper Kupp","WR","SEA","191","197.8","6.8","WR73","WR78","5","698227"
"Samaje Perine","RB","CIN","192","226.9","34.9","RB64","RB77","13","820734"
"Greg Dulcich","TE","MIA","193","174.5","-18.5","TE28","TE24","-4","1128085"
"Jordan James","RB","SF","194","225.5","31.5","RB65","RB72","7","1400657"
"Mike Washington","RB","LV","195","211.6","16.6","RB66","RB65","-1","1289428"
"Zachariah Branch","WR","ATL","196","190.6","-5.4","WR74","WR75","1","1441110"
"Kaelon Black","RB","SF","197","207.9","10.9","RB67","RB64","-3","1215772"
"Najee Harris","RB","FA","198","229.0","31.0","RB68","RB88","20","973964"
"Nicholas Singleton","RB","TEN","199","205.7","6.7","RB69","RB61","-8","1379264"
"Braelon Allen","RB","NYJ","200","200.5","0.5","RB70","RB59","-11","1325231"
"Kimani Vidal","RB","LAC","201","207.3","6.3","RB71","RB63","-8","1214824"
"Pat Bryant","WR","DEN","202","221.6","19.6","WR75","WR88","13","1305866"
"AJ Barner","TE","SEA","203","184.4","-18.6","TE29","TE26","-3","1229503"
"Tank Dell","WR","HOU","204","184.2","-19.8","WR76","WR73","-3","1128222"
"Germie Bernard","WR","PIT","205","202.7","-2.3","WR77","WR79","2","1380613"
"Chris Brooks","RB","GB","206","229.6","23.6","RB72","RB92","20","1127065"
"Demond Claiborne","RB","MIN","207","221.3","14.3","RB73","RB68","-5","1390910"
"Rashod Bateman","WR","BAL","208","207.0","-1.0","WR78","WR82","4","1108208"
"Colby Parkinson","TE","LA","209","201.8","-7.2","TE30","TE30","0","1060312"
"Mike Gesicki","TE","CIN","210","214.1","4.1","TE31","TE32","1","836152"
"Dontayvion Wicks","WR","PHI","211","186.1","-24.9","WR79","WR74","-5","1172428"
"Isaiah Davis","RB","NYJ","212","228.2","16.2","RB74","RB85","11","1271609"
"Geno Smith","QB","NYJ","213","181.6","-31.4","QB29","QB30","1","513856"
"Keenan Allen","WR","FA","214","222.6","8.6","WR80","WR90","10","557210"
"Kayshon Boutte","WR","NE","215","192.1","-22.9","WR81","WR76","-5","1213362"
"Evan Engram","TE","DEN","216","216.4","0.4","TE32","TE33","1","749185"
"Jaylin Noel","WR","HOU","217","228.5","11.5","WR82","WR115","33","1286370"
"Devaughn Vele","WR","NO","218","227.4","9.4","WR83","WR101","18","1164788"
"Tyquan Thornton","WR","KC","219","214.4","-4.6","WR84","WR86","2","1110301"
"Darnell Mooney","WR","NYG","220","203.2","-16.8","WR85","WR80","-5","912027"
"Emanuel Wilson","RB","SEA","221","225.4","4.4","RB75","RB71","-4","1447759"
"Jaylen Wright","RB","MIA","222","229.1","7.1","RB76","RB91","15","1286513"
"George Holani","RB","SEA","223","215.8","-7.2","RB77","RB67","-10","1180625"
"Michael Mayer","TE","LV","224","228.3","4.3","TE33","TE38","5","1232592"
"Jacoby Brissett","QB","ARI","225","161.3","-63.7","QB30","QB27","-3","607047"
"Darius Slayton","WR","NYG","226","229.6","3.6","WR86","WR140","54","880557"
"Jahan Dotson","WR","ATL","227","230.0","3.0","WR87","WR146","59","1121878"
"Seth McGowan","RB","IND","228","230.4","2.4","RB78","RB97","19","1213794"
"Kalif Raymond","WR","CHI","229","229.4","0.4","WR88","WR138","50","692660"
"Dawson Knox","TE","BUF","230","230.3","0.3","TE34","TE50","16","884083"
"Kendrick Bourne","WR","ARI","231","229.3","-1.7","WR89","WR131","42","754412"
"Marvin Mims","WR","DEN","232","229.4","-2.6","WR90","WR135","45","1213799"
"KaVontae Turpin","WR","DAL","233","230.4","-2.6","WR91","WR151","60","865958"
"Caleb Douglas","WR","MIA","234","227.3","-6.7","WR92","WR99","7","1394798"
"Malachi Fields","WR","NYG","235","221.8","-13.2","WR93","WR89","-4","1319589"
"Joshua Palmer","WR","BUF","236","227.7","-8.3","WR94","WR102","8","1059612"
"Xavier Legette","WR","CAR","237","228.2","-8.8","WR95","WR110","15","1180321"
"David Njoku","TE","LAC","238","208.8","-29.2","TE35","TE31","-4","832098"
"Demario Douglas","WR","NE","239","228.8","-10.2","WR96","WR120","24","1175693"
"Malik Washington","WR","MIA","240","162.8","-77.2","WR97","WR65","-32","1173255"
"Chris Bell","WR","MIA","241","227.1","-13.9","WR98","WR98","0","1389700"
"Brandon Aiyuk","WR","FA","242","225.3","-16.7","WR99","WR92","-7","1107034"
"Emari Demercado","RB","KC","243","229.0","-14.0","RB79","RB89","10","1116817"
"Trevor Etienne","RB","CAR","244","225.6","-18.4","RB80","RB73","-7","1394803"
"Brashard Smith","RB","KC","245","228.2","-16.8","RB81","RB84","3","1313668"
"Andrei Iosivas","WR","CIN","246","229.3","-16.7","WR100","WR134","34","1124851"
"Cole Kmet","TE","CHI","247","229.2","-17.8","TE36","TE40","4","1066765"
"Darnell Washington","TE","PIT","248","228.6","-19.4","TE37","TE39","2","1218658"
"Theo Johnson","TE","NYG","249","229.6","-19.4","TE38","TE43","5","1214414"
"Isaac Guerendo","RB","SF","250","230.4","-19.6","RB82","RB98","16","1126338"
"James Conner","RB","ARI","251","222.6","-28.4","RB83","RB69","-14","742390"
"Keon Coleman","WR","BUF","252","205.9","-46.1","WR101","WR81","-20","1322431"
"Ja'Tavion Sanders","TE","CAR","253","230.8","-22.2","TE39","TE57","18","1326628"
"Elijah Arroyo","TE","SEA","254","230.0","-24.0","TE40","TE46","6","1286840"
"Noah Gray","TE","KC","255","231.5","-23.5","TE41","TE63","22","1056981"
"Chimere Dike","WR","TEN","256","228.0","-28.0","WR102","WR105","3","1215102"
"Will Shipley","RB","PHI","257","227.1","-29.9","RB84","RB81","-3","1287636"
"Mack Hollins","WR","NE","258","226.8","-31.2","WR103","WR96","-7","702808"
"Elijah Sarratt","WR","BAL","259","225.6","-33.4","WR104","WR93","-11","1392584"
"Ted Hurst","WR","TB","260","217.9","-42.1","WR105","WR87","-18","1521285"
"Roman Wilson","WR","PIT","261","228.7","-32.3","WR106","WR119","13","1229669"
"Cyrus Allen","WR","KC","262","213.9","-48.1","WR107","WR85","-22","1382670"
"Tyler Higbee","TE","LA","263","229.8","-33.2","TE42","TE45","3","604176"
"Eli Stowers","TE","PHI","264","223.4","-40.6","TE43","TE35","-8","1286065"
"Elic Ayomanor","WR","TEN","265","228.8","-36.2","WR108","WR122","14","1395319"
"Phil Mafah","RB","DAL","266","231.2","-34.8","RB85","RB99","14","1287641"
"LeQuint Allen","RB","JAX","267","230.1","-36.9","RB86","RB93","7","1378840"
"Mason Taylor","TE","NYJ","268","230.3","-37.7","TE44","TE49","5","1381263"
"Tahj Brooks","RB","CIN","269","230.2","-38.8","RB87","RB94","7","1228730"
"Brenen Thompson","WR","LAC","270","228.2","-41.8","WR109","WR107","-2","1399132"
"Pierre Strong","RB","GB","271","240.0","-31.0","RB88","RB102","14","1050335"
"Jawhar Jordan","RB","HOU","272","228.8","-43.2","RB89","RB87","-2","1164137"
"Treylon Burks","WR","WAS","273","232.1","-40.9","WR110","WR155","45","1172024"
"Troy Franklin","WR","DEN","274","210.6","-63.4","WR111","WR83","-28","1286176"
"Ja'Kobi Lane","WR","BAL","275","229.2","-45.8","WR112","WR130","18","1458888"
"Malik Benson","WR","LV","276","229.8","-46.2","WR113","WR144","31","1441191"
"Erick All","TE","CIN","277","230.5","-46.5","TE45","TE54","9","1164533"
"Jack Bech","WR","LV","278","230.0","-48.0","WR114","WR147","33","1286046"
"Kendre Miller","RB","NO","279","226.1","-52.9","RB90","RB75","-15","1213867"
"Malik Davis","RB","DAL","280","228.3","-51.7","RB91","RB86","-5","975028"
"Terrell Jennings","RB","NE","281","240.0","-41.0","RB92","RB102","10","1182082"
"Devin Neal","RB","NO","282","226.9","-55.1","RB93","RB78","-15","1293066"
"Devin Singletary","RB","NYG","283","227.3","-55.7","RB94","RB83","-11","916466"
"Tory Horton","WR","SEA","284","222.7","-61.3","WR115","WR91","-24","1223393"
"Tez Johnson","WR","TB","285","229.8","-55.2","WR116","WR143","27","1214837"
"Eli Heidenreich","WR","PIT","286","229.2","-56.8","WR117","WR128","11","1395874"
"Ollie Gordon","RB","MIA","287","227.2","-59.8","RB95","RB82","-13","1377766"
"Tommy Tremble","TE","CAR","288","229.8","-58.2","TE46","TE44","-2","1130555"
"Olamide Zaccheaus","WR","ATL","289","229.7","-59.3","WR118","WR142","24","883976"
"Noah Fant","TE","NO","290","230.8","-59.2","TE47","TE56","9","923911"
"Skyler Bell","WR","BUF","291","228.7","-62.3","WR119","WR118","-1","1325234"
"Zavion Thomas","WR","CHI","292","229.4","-62.6","WR120","WR136","16","1398153"
"Jalen Tolbert","WR","MIA","293","226.2","-66.8","WR121","WR95","-26","1066424"
"Luke Schoonmaker","TE","DAL","294","240.0","-54.0","TE48","TE65","17","1130242"
"Tutu Atwell","WR","MIA","295","229.4","-65.6","WR122","WR137","15","1106760"
"Jahdae Walker","WR","CHI","296","228.4","-67.6","WR123","WR114","-9","1465213"
"Isaiah Bond","WR","CLE","297","229.9","-67.1","WR124","WR145","21","1398503"
"Jam Miller","RB","NE","298","226.6","-71.4","RB96","RB76","-20","1378911"
"Colbie Young","WR","CIN","299","227.4","-71.6","WR125","WR100","-25","1406878"
"Nick Westbrook-Ikhine","WR","IND","300","230.8","-69.2","WR126","WR153","27","883259"
